,song_name,song_popularity,song_duration_ms,danceability,energy,speechiness,artist_name,album_names,artists_path,fat_burning,genre
9795,Self,66,94932,0.8079999999999999,0.541,0.252,Noname,Room 25,noname,20.009604239940376,hip-hop
9796,Keep Me Hustlin (feat. Rexx Life Raj),56,206117,0.491,0.552,0.307,Mozzy,Gangland Landlord,mozzy,33.590157482160414,
9797,Pictures on My Wall,51,197801,0.932,0.298,0.0681,Lithe,Pictures on My Wall,lithe,38.014345110771885,hip-hop
9798,Yin / Yang,52,169527,0.919,0.597,0.118,Student 1,Yin / Yang,student-1,40.156143429233026,hip-hop
9799,Chains Choking Me (feat. Gunna),64,181453,0.722,0.482,0.325,Young Thug,Slime Language,young-thug,34.1353655964213,hip-hop
9800,TTG (feat. Kevin Gates),62,172138,0.8740000000000001,0.6990000000000001,0.35200000000000004,YoungBoy Never Broke Again,4Respect,youngboy-never-broke-again,42.30769786049884,alternative
9801,Love Me,51,146091,0.591,0.6809999999999999,0.39,Guido Dos Santos,Love Me,guido-dos-santos,29.035177942810176,alternative
9802,Elephant Man,52,121986,0.88,0.539,0.254,So Loki,Planet Bando,so-loki,27.046203100268908,hip-hop
9803,Snow White,67,261834,0.782,0.5589999999999999,0.046,Roy Woods,Snow White,roy-woods,54.8616338207744,hip-hop
9804,Ego,69,210431,0.833,0.5670000000000001,0.1,Jay Critch,Ego,jay-critch,46.031133937179,hip-hop
9805,Ego,69,210431,0.833,0.5670000000000001,0.1,Milky Chance,Blossom (Deluxe),milky-chance,46.031133937179,alternative
9806,Ego,69,210431,0.833,0.5670000000000001,0.1,NONONO,Ego,nonono,46.031133937179,rock
9807,Reflection,49,210311,0.622,0.483,0.209,Nate Traveller,Alone,nate-traveller,36.31099797034105,pop
9808,Reflection,49,210311,0.622,0.483,0.209,Aftertheparty,Emulsion,aftertheparty,36.31099797034105,alternative
9809,A Million,48,173875,0.912,0.295,0.0607,Rothstein,A Million,rothstein,32.79127715391502,hip-hop
9810,Come Clean,58,151394,0.525,0.416,0.0505,Anfa Rose,Come Clean,anfa-rose,22.25933604058693,hip-hop
9811,White Bronco,64,167375,0.448,0.667,0.307,Action Bronson,White Bronco,action-bronson,29.159453226439005,hip-hop
9812,Overtime (feat. Sebastian Reynoso & KYLE),60,187063,0.687,0.361,0.255,Carnage,Battered Bruised & Bloody,carnage,30.63113549965704,metal
9813,Crazy Girl,48,202605,0.723,0.764,0.0917,JAHKOY,Crazy Girl,jahkoy,47.07334349985703,pop
9814,Ctrl Alt Del,52,177133,0.642,0.237,0.335,Bakar,Badkid,bakar,24.327768359507445,alternative
9815,Ridin (feat. Landon Cube & YBN Nahmir),75,225103,0.8320000000000001,0.439,0.0996,Yung Bans,Yung Bans Vol. 5,yung-bans,44.70342026440253,hip-hop
9816,Qualitestaholic,49,195733,0.7020000000000001,0.5720000000000001,0.321,Steven Moses,Love Me // Leave Me,steven-moses,38.96255240160685,hip-hop
9817,Battery Acid,51,171911,0.331,0.578,0.245,Elijah Waters,Burning Rivers Ep,elijah-waters,24.416390863253486,hip-hop
9818,So Much,51,221797,0.85,0.6579999999999999,0.217,Rah-C,So Much,rah-c,52.26018321617352,alternative
9819,Fujiko,52,279750,0.6659999999999999,0.579,0.28600000000000003,Khary,Tidal Graves,khary,54.419351915363684,hip-hop
9820,Disloyal,50,161697,0.735,0.461,0.138,Eli Sostre,Disloyal,eli-sostre,30.216701952628796,hip-hop
9821,Lights Went Down,46,219544,0.624,0.349,0.213,Full Crate,Still Growing,full-crate,33.37707938482115,alternative
9822,When I Call Em,50,216359,0.857,0.514,0.0787,Ebenezer,When I Call Em,ebenezer,46.3475027694923,metal
9823,Closure,62,163723,0.496,0.444,0.0391,Vancouver Sleep Clinic,Closure,vancouver-sleep-clinic,24.046477471410558,alternative
9824,Closure,62,163723,0.496,0.444,0.0391,Jill Scott,Closure,jill-scott,24.046477471410558,electronic
9825,Take the Nite Off,48,160023,0.621,0.603,0.165,Myke Bogan,Take the Nite Off,myke-bogan,30.60396838169463,hip-hop
9826,No Sides,45,209280,0.772,0.374,0.226,OYABUN,NVRLND,oyabun,37.47367302647306,hip-hop
9827,Pyramids,45,197273,0.7190000000000001,0.458,0.223,Ajani Jones,Cocoons,ajani-jones,36.27922747961357,hip-hop
9828,Say No More,54,196691,0.546,0.63,0.264,Flipp Dinero,Say No More,flipp-dinero,36.14146301067642,hip-hop
9829,Come Thru,60,165935,0.555,0.425,0.307,Phora,Come Thru,phora,25.408439568818565,hip-hop
9830,Drowsiness,46,314226,0.5329999999999999,0.486,0.0505,Sterling Hayes,Drowsiness,sterling-hayes,50.02996739108356,hip-hop
9831,Nike Checks,22,221653,0.511,0.512,0.0912,Joe Trufant,Nike Checks,joe-trufant,35.429348493536814,hip-hop
9832,Hyperspace,46,196458,0.687,0.528,0.269,dopeSMOOTHIES,Dsfm:2,dopesmoothies,37.29579896532705,alternative
9833,Mount Sinai,5,145659,0.843,0.456,0.23,$uicideBoy$,Songsthatwewontgetsuedforbutattheendofthedayweallgonnadieanyway,suicideboys,29.5638094151801,hip-hop
9834,Cliché,8,198600,0.812,0.5760000000000001,0.116,Ebenezer,Cliché,ebenezer,43.070769317306485,metal
9835,Winterwalk,45,240000,0.545,0.373,0.14,Stayy Cozy,Winterwalk,stayy-cozy,34.42451590524509,alternative
9836,Waverunners,49,174940,0.934,0.359,0.37,dopeSMOOTHIES,Waverunner,dopesmoothies,35.34284986617376,alternative
9837,CALLIGRAPHY,59,184250,0.643,0.532,0.374,Saba,CARE FOR ME,saba,33.82667274991446,hip-hop
9838,show goes on,45,180000,0.534,0.653,0.366,Patches,show goes on,patches,33.38390553882836,alternative
9839,Be Like That (Remix),45,234146,0.8109999999999999,0.5579999999999999,0.119,Bobby Raps,Be Like That (Remix),bobby-raps,50.08458849797424,alternative
9840,Too Much Time (feat. Luu Breeze & Emerson Brooks),48,215238,0.407,0.57,0.448,S.L.M.N,Too Much Time (feat. Luu Breeze & Emerson Brooks),slmn,32.85696388644534,hip-hop
9841,Meditate (feat. J.I.D.),68,278083,0.743,0.679,0.28600000000000003,EARTHGANG,Rags - EP,earthgang,61.785697701126075,hip-hop
9842,i don’t rly like u,52,205264,0.493,0.41,0.0633,ROLE MODEL,i don’t rly like u,role-model,28.961060235090446,
9843,God Bless the Internet,55,229998,0.741,0.512,0.34,SAINt JHN,Collection One,saint-jhn,45.02866272193047,hip-hop
9844,Channel Red,52,187402,0.635,0.435,0.0514,Frvrfriday,WHOISFRIDAY - EP,frvrfriday,31.330831285185056,hip-hop
9845,Wolverine (feat. Yung Bans),59,160560,0.816,0.511,0.0676,Nessly,Wolverine (feat. Yung Bans),nessly,33.290644350313826,hip-hop
9846,Ballin,55,213000,0.705,0.371,0.157,Parisalexa,Flexa,parisalexa,35.81012142016753,pop
9847,Unfinished Business,45,215405,0.607,0.581,0.135,City Fidelia,Unfinished Business,city-fidelia,39.98399085012867,hip-hop
9848,• SECURITY,48,176360,0.746,0.539,0.0724,Jazz Cartier,Fleurever,jazz-cartier,35.4092833069535,hip-hop
9849,Infatuated,58,147615,0.748,0.779,0.0498,Jesus Honcho,7 Vibez,jesus-honcho,35.21952113173409,hip-hop
9850,Billy,55,115617,0.925,0.453,0.168,Tobi Lou,tobi lou and the Juice,tobi-lou,24.893435248566817,hip-hop
9851,Let Me Live (feat. Anne-Marie & Mr Eazi) - Acoustic,68,218049,0.68,0.547,0.0414,Rudimental,Let Me Live (feat. Anne-Marie & Mr Eazi) [Acoustic],rudimental,41.80349385711764,electronic
9852,Eastside (with Halsey & Khalid) - Acoustic,73,173004,0.6890000000000001,0.491,0.0317,benny blanco,Eastside (with Halsey & Khalid) [Acoustic],benny-blanco,31.89716394613201,
9853,T-Shirts - Acoustic,63,195480,0.378,0.254,0.0353,James Smith,T-Shirts (Acoustic),james-smith,19.303378546239195,alternative
9854,All I Am - Acoustic,62,224693,0.698,0.349,0.0351,Jess Glynne,All I Am (Acoustic),jess-glynne,36.757853561434295,hip-hop
9855,Blame,49,176859,0.5489999999999999,0.413,0.0411,Matt Wills,Blame,matt-wills,26.583744603591512,pop
9856,Blame,49,176859,0.5489999999999999,0.413,0.0411,Calvin Harris,Motion,calvin-harris,26.583744603591512,electronic
9857,Best I'll Ever Sing,64,199141,0.34,0.28800000000000003,0.0321,Maisie Peters,Best I'll Ever Sing,maisie-peters,19.540435837621036,pop
9858,In The Air (Acoustic),46,205322,0.452,0.519,0.0531,ARCADES,In The Air (Acoustic),arcades,31.15075912994974,
9859,Still New York,74,224914,0.662,0.677,0.0406,MAX,Still New York,max,47.05556421862817,alternative
9860,Punches (with LP),69,253240,0.531,0.499,0.0403,Noah Cyrus,Good Cry,noah-cyrus,40.75523937944622,electronic
9861,Worthy Of You,62,190619,0.451,0.452,0.0574,Plested,Worthy Of You,plested,26.894771323528264,pop
9862,Don't Let Me Forget (feat. Hunter Hayes),52,205613,0.649,0.623,0.0603,Catherine McGrath,Don't Let Me Forget (feat. Hunter Hayes),catherine-mcgrath,40.865009085809724,country
9863,Collide,52,187149,0.5920000000000001,0.5329999999999999,0.0338,Tom Speight,Collide,tom-speight,32.89682254468297,pop
9864,Full Recovery,60,176134,0.524,0.307,0.0465,Curtis Walsh,Full Recovery,curtis-walsh,22.869577459066985,rock
9865,Girl - Acoustic,70,211881,0.413,0.272,0.0317,SYML,Girl (Acoustic),syml,22.677569377930624,alternative
9866,Happy Now - Acoustic,66,152000,0.555,0.334,0.0701,Zedd,Happy Now (Acoustic),zedd,21.113453092065892,electronic
9867,Jubilee Road,61,313258,0.457,0.261,0.0485,Tom Odell,Jubilee Road,tom-odell,35.143137674626445,pop
9868,Hell or High Water,55,220468,0.338,0.721,0.0587,Passenger,Hell or High Water,passenger,36.48005137427755,metal
9869,Elbows,45,190363,0.376,0.412,0.0455,DAY_S,Elbows,day_s,23.438114776510957,
9870,Messy - Stripped,52,142689,0.696,0.2,0.0649,Kiiara,Messy (Stripped),kiiara,19.976179084981617,alternative
9871,Lucky Ones,56,213920,0.342,0.527,0.0275,Tom Grennan,Lighting Matches (Deluxe),tom-grennan,29.045916541798636,alternative
9872,Old News,60,230266,0.693,0.6579999999999999,0.0398,Mitch James,Old News,mitch-james,48.60702990114201,hip-hop
9873,dear insecurity (feat. ben abraham),70,218929,0.688,0.348,0.149,gnash,dear insecurity (feat. ben abraham),gnash,35.43863351921614,alternative
9874,Sea,19,264838,0.7070000000000001,0.267,0.0299,Ina Wroldsen,Sea,ina-wroldsen,40.30446634344205,electronic
9875,Is This Still Love - Acoustic,45,215223,0.773,0.409,0.0531,Danny Jones,Is This Still Love (Acoustic),danny-jones,39.748438850078664,alternative
9876,Tough - Acoustic,62,223360,0.7140000000000001,0.311,0.0442,Lewis Capaldi,Tough (Acoustic),lewis-capaldi,35.7719969562928,alternative
9877,I Will Never Be,51,212240,0.657,0.6,0.0306,Lily Moore,I Will Never Be,lily-moore,41.684676309239414,undefined
9878,1975,49,190360,0.66,0.407,0.0613,Billy Raffoul,1975,billy-raffoul,31.73613496060211,alternative
9879,I Bet,57,190278,0.401,0.461,0.208,Charlotte Lawrence,Young,charlotte-lawrence,25.627707735359973,alternative
9880,Restless Love,41,256780,0.452,0.313,0.0323,Tommy Ashby,Restless Love,tommy-ashby,30.69280275746123,pop
9881,Chariot,53,216752,0.737,0.34600000000000003,0.0271,Mega,Chariot,mega,36.67798671581181,alternative
9882,No Right To Love You - Acoustic,73,229557,0.531,0.269,0.0406,Rhys Lewis,No Right To Love You (Acoustic),rhys-lewis,28.694221487510333,pop
9883,Night Cries,54,177187,0.328,0.0976,0.0457,Arctic Lake,Night Cries,arctic-lake,11.78276980479962,alternative
9884,Company (feat. Molly Hammar),50,193333,0.48,0.162,0.0542,Paul Rey,Company (feat. Molly Hammar),paul-rey,19.39344384219597,rock
